Name,URL1,URL2,First Category
Kim Hye-gyong,https://fr.wikipedia.org/?curid=10880211,https://fr.wikipedia.org/wiki/Kim Hye-gyong,Wikip\u00e9dia:\u00e9bauche athl\u00e9tisme
Kim Hye-song,https://fr.wikipedia.org/?curid=10880214,https://fr.wikipedia.org/wiki/Kim Hye-song,Wikip\u00e9dia:\u00e9bauche athl\u00e9tisme
Irene (chanteuse),https://fr.wikipedia.org/?curid=10582806,https://fr.wikipedia.org/wiki/Irene (chanteuse),Article utilisant une Infobox
Katharina Gallhuber,https://fr.wikipedia.org/?curid=10583817,https://fr.wikipedia.org/wiki/Katharina Gallhuber,Article utilisant une Infobox
M\u00e9lanie Meillard,https://fr.wikipedia.org/?curid=10581989,https://fr.wikipedia.org/wiki/M\u00e9lanie Meillard,Wikip\u00e9dia:\u00e9bauche ski alpin
Rosina Schneeberger,https://fr.wikipedia.org/?curid=10581494,https://fr.wikipedia.org/wiki/Rosina Schneeberger,Article utilisant une Infobox
Siegfried Bauer,https://fr.wikipedia.org/?curid=10579771,https://fr.wikipedia.org/wiki/Siegfried Bauer,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
Audrey Sale-Barker,https://fr.wikipedia.org/?curid=1055958,https://fr.wikipedia.org/wiki/Audrey Sale-Barker,Page utilisant des arguments dupliqu\u00e9s dans les appels de mod\u00e8le
Helen Boughton-Leigh,https://fr.wikipedia.org/?curid=1055960,https://fr.wikipedia.org/wiki/Helen Boughton-Leigh,Article \u00e0 illustrer Sportif
Helen Zingg,https://fr.wikipedia.org/?curid=1055962,https://fr.wikipedia.org/wiki/Helen Zingg,Wikip\u00e9dia:\u00e9bauche personnalit\u00e9 suisse
Alina Raikova,https://fr.wikipedia.org/?curid=10566386,https://fr.wikipedia.org/wiki/Alina Raikova,Article \u00e0 illustrer Sportif
Britney Spears,https://fr.wikipedia.org/?curid=105664,https://fr.wikipedia.org/wiki/Britney Spears,Article contenant un lien mort
Olga Rypakova,https://fr.wikipedia.org/?curid=4036984,https://fr.wikipedia.org/wiki/Olga Rypakova,Article utilisant une Infobox
Ma Xuejun,https://fr.wikipedia.org/?curid=4037008,https://fr.wikipedia.org/wiki/Ma Xuejun,Wikip\u00e9dia:\u00e9bauche athl\u00e8te chinois
Sentayehu Ejigu,https://fr.wikipedia.org/?curid=4037069,https://fr.wikipedia.org/wiki/Sentayehu Ejigu,Article utilisant une Infobox
Suikoden IV,https://fr.wikipedia.org/?curid=4036181,https://fr.wikipedia.org/wiki/Suikoden IV,Wikip\u00e9dia:\u00e9bauche jeu vid\u00e9o
\u017baneta Glanc,https://fr.wikipedia.org/?curid=4037655,https://fr.wikipedia.org/wiki/\u017baneta Glanc,Wikip\u00e9dia:\u00e9bauche athl\u00e8te polonais
Dani Stevens,https://fr.wikipedia.org/?curid=4037681,https://fr.wikipedia.org/wiki/Dani Stevens,Article utilisant une Infobox
Keila Costa,https://fr.wikipedia.org/?curid=4041495,https://fr.wikipedia.org/wiki/Keila Costa,Wikip\u00e9dia:\u00e9bauche athl\u00e8te br\u00e9silien
Amber Campbell,https://fr.wikipedia.org/?curid=4039410,https://fr.wikipedia.org/wiki/Amber Campbell,Wikip\u00e9dia:\u00e9bauche athl\u00e8te am\u00e9ricain
Anisya Kirdyapkina,https://fr.wikipedia.org/?curid=4040709,https://fr.wikipedia.org/wiki/Anisya Kirdyapkina,Wikip\u00e9dia:\u00e9bauche athl\u00e8te russe
Victoria (reine),https://fr.wikipedia.org/?curid=40408,https://fr.wikipedia.org/wiki/Victoria (reine),Article utilisant une Infobox
Sarah Gronert,https://fr.wikipedia.org/?curid=4039754,https://fr.wikipedia.org/wiki/Sarah Gronert,Article \u00e0 illustrer Joueur de tennis
Kathrin Klaas,https://fr.wikipedia.org/?curid=4043065,https://fr.wikipedia.org/wiki/Kathrin Klaas,Article utilisant une Infobox
Anne Cibis,https://fr.wikipedia.org/?curid=4049790,https://fr.wikipedia.org/wiki/Anne Cibis,Wikip\u00e9dia:\u00e9bauche athl\u00e8te allemand
Kalkidan Gezahegne,https://fr.wikipedia.org/?curid=4044103,https://fr.wikipedia.org/wiki/Kalkidan Gezahegne,Article utilisant une Infobox
